ID	Synonyms	Definition	Definition in Sorani
ENG20-03369427-n	hat; chapeau; lid; 	headdress that protects the head from bad weather; has shaped crown and usually a brim	سەرپۆشێک کە سەر لە هەوای خراپە دەپارێزێ؛ وەکوو تاجێک وایە و لێوارەشی هەیە
ENG20-03374147-n	headdress; headgear; 	clothing for the head	جلی سەر
ENG20-03379704-n	heater; warmer; 	device that heats water or supplies warmth to a room	ئامرازێک کە ئاو دەکۆڵێنێ یان گەرمای ژوورێک پێک دێنێ
ENG20-03380628-n	heating system; heating plant; heating; heat; 	utility to warm a building	سیستەمی گەرم کردنی بینا
ENG20-03383708-n	helicopter; chopper; whirlybird; eggbeater; 	an aircraft without wings that obtains its lift from the rotation of overhead blades	فڕۆکەیەکی بێ باڵ کە بە سووڕانی تێخە سەریەکانی لە زەوی هەڵدەستێ
ENG20-03391460-n	hindrance; hitch; preventive; preventative; encumbrance; incumbrance; interference; 	any obstruction that impedes or is burdensome	هەر جۆرە بەربەستێک کە بەرگری دەکا یان قورسایی هەیە
ENG20-03396429-n	hole; 	an opening deliberately made in or through something	دەرگەیەک کە لە ئەنقەست کراوەتە نێو شتێکەوە
ENG20-03403613-n	hoop; ring; 	a rigid circular band of metal or wood or other material used for holding or fastening or hanging or pulling	نەوارێکی ڕەقی گردی کانزایی یان چێوی یان لە هەر شتێکی دی کە بۆ ڕاگرتن یان بەستن یان هەڵواسین یان کێشان بە کار دێ
ENG20-03405963-n	horizontal surface; level; 	a flat surface at right angles to a plumb line	ڕووکارێکی تەخت کە لە ئاستی هەسۆیی هێڵی لوولەکەشی دایە
ENG20-03410891-n	hostel; youth hostel; student lodging; 	inexpensive supervised lodging (especially for youths on bicycling trips)	ژووری مانەوەی هەرزان و لە ژێر چاودێری( بە تایبەت بۆ ئەو لاوانەی لە سەر گەشتی بایسیکل دان)
ENG20-03411050-n	hostel; hostelry; inn; lodge; 	a hotel providing overnight lodging for travelers	هؤتێلێک کە گەشتیاران دەتوانن بۆ شەو لەوێ بمێننەوە
ENG20-03411659-n	hotel; 	a building where travelers can pay for lodging and meals and other services	بیناێک کە لەوێ گەشتیاران بە دانی پارە دەتوانن لەوێ بمێننەوە و خوراک و ئەو خزمەتانی دیش وەرگرن
ENG20-03413667-n	house; 	a dwelling that serves as living quarters for one or more families	جێگای نیشتەجێ بوون بۆ یەک یان چەندین بنەماڵە
ENG20-03415644-n	housing; lodging; living accommodations; 	housing structures collectively; structures in which people are housed	پێکهاتەی نیشتەجێ بوون بە گشتی؛ ئەو بیناانەی کە خەڵکی لێ دادەنیشن
ENG20-03416090-n	housing; 	a protective cover designed to contain or support a mechanical component	داپۆشێکی پارێزەری داڕێژراو بۆ لە خۆ گرتن یان پشتیوانی کردن لە  بەشێکی میکانیکی
ENG20-03432640-n	implement; 	instrumentation (a piece of equipment or tool) used to effect an end	بەکار هێنانی ئامراز ( وەک کەل و پەل یان ئامێرێک) کە بۆ کاریگەری نیان لە سەر ئامانجێک بە کار دێ
ENG20-03433304-n	import; importation; 	commodities (goods or services) bought from a foreign country	ئەو کەرستانەی ( چ کەل و پەل چ خزمەتکاری) کە لە وڵاتێکی دەرەکی دەسەندرێ
ENG20-03438403-n	infrastructure; base; 	the stock of basic facilities and capital equipment needed for the functioning of a country or area	سەرجەمی ئەو ئادگار و کەل و پەلە سەرەکیانەی کە بۆ ئیش کردنی وڵاتێک یان ناوچەیەک پێویستن
ENG20-03442844-n	institution; 	an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated	دامەزراوەیک کە پێک هاتووە لە بینا یان تاقمە بیناێک کە لەوێ ڕێکخراوەیک بۆ  بەرزکردنەوە و بەرهەم هێنانی ئامانجێک جێگر بووە
ENG20-03443087-n	instrument; 	a device that requires skill for proper use	ئامێرێک کە شارەزایی دەوێ بۆ درووست وە کار هێنانی
ENG20-03443493-n	instrumentality; instrumentation; 	an artifact (or system of artifacts) that is instrumental in accomplishing some end	دەستکردێک (یان سیستەمی دەستکردەکان) کە لە جێ بە جێ کردنی ئامانجێکدا بەسوود بێ
ENG20-03449421-n	intoxicant; 	a drug that can produce a state of intoxication	دەرمانێک کە دەتوانێ بارێکی مەستی پێش بێنێ
ENG20-03452833-n	iron; branding iron; 	implement used to brand live stock	ئامرازێک کە بۆ دیاری کردنی ئاژەڵ بە کار دێ
ENG20-03453451-n	ironing board; 	narrow padded board on collapsible supports; used for ironing clothes	تەختەیەکی باریک بە سەر پایەیکەوە کە جەمیش دەبێتەوە؛ بۆ ئووتۆ کردنی جل و بەرگ بە کار دێ
ENG20-03454531-n	island; 	a zone or area resembling an island	ناوچە یان هەرێمێک کە لە دوورگە دەچێ
ENG20-03457325-n	jacket; 	an outer wrapping or casing	داپۆش یان پۆششی دەرەکی
ENG20-03457607-n	jacket crown; jacket; 	(dentistry) an artificial crown fitted over a broken or decayed tooth	(ددانسازی) تاجێکی دەستکرد کە لە سەر ددانێکی شکیاو یان پووک دادەدێنرێ
ENG20-03462410-n	jeep; landrover; 	a car suitable for traveling over rough terrain	ئۆتۆمۆبیلێک کە بۆ گەشت کردن لە زەوی پڕ لە نزمی و بەرزی گونجاوە
ENG20-03464807-n	jewelry; jewellery; 	an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)	خشڵێک (وەک بازنە یان ئەڵقە یان ملوانکە) کە لە کانزای بەنرخ درووست بووە و گەوهەری لێ یە (یان وەک گەوهەر)
ENG20-03469483-n	journal; 	a record book as a physical object	دەفتەری تۆمار وەک شتێکی فیزیکی
ENG20-03479675-n	key; 	metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated	ئامێرێکی کانزایی کە وا شکڵ دراوە کە کاتێ دەچێتە نێو قوفڵێک، ئامێری میکانیکی قوفڵەکە دەسووڕێتەوە
ENG20-03485400-n	kitchen; 	a room equipped for preparing meals	ژوورێک کە کەل و پەلی ئامادە کردنی خوراکی لێ یە
ENG20-03488738-n	knife; 	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	ئامێرێکی دەمە دار کە وەک ئامێری بڕینەوە بە کار دێ؛ تێخێکی نووک داری هەیە و دەستەیەک
ENG20-03500773-n	lamp; 	a piece of furniture holding one or more electric light bulbs	یەک لە کەل و پەلێک کە گڵۆبی ڕۆشنایی ڕادەگرێ
ENG20-03504658-n	lane; 	a narrow way or road	ڕێگا یان شەقامێکی باریک
ENG20-03507015-n	larboard; port; 	the left side of a ship or aircraft to someone facing the bow or nose	لای چەپی کەشتی یان فڕۆکەیەک بۆ کەسێ کە ڕووی لە کەمان یان بەشی پێشەوەیە
ENG20-03514176-n	layer; bed; 	single thickness of usually some homogeneous substance	تاقە ئەستوورێتی مادەیەکی سازاو
ENG20-03515232-n	lead; leading; 	thin strip of metal used to separate lines of type in printing	نەواری کانزایی کە بۆ جودا کردنەوەی هێڵەکانی تایپ لە چاپدا بە کار دێ
ENG20-03524365-n	library; 	a room where books are kept	ژوورێک کە کتێبی لێ ڕادەگیرێ
ENG20-03529837-n	lighter; light; igniter; ignitor; 	a device for lighting or igniting fuel or charges or fires	ئامێرێک بۆ ڕۆشنایی یان گڕدانی سووتەمەنی یان شارژ کردنەوە یان ئاگر کردنەوە
ENG20-03530608-n	lighting fixture; 	a fixture providing artificial light	ئامێرێک کە ڕۆشنایی ناسروشتی پێک دێنێ
ENG20-03534039-n	line; 	something (as a cord or rope) that is long and thin and flexible	شتێک (وەک پەت یان گۆریس) کە درێژە و باریک و لخیز
ENG20-03542284-n	living quarters; quarters; 	housing available for people to live in	خانووبەرەی ئامادە بۆ نیشتەجێبوونی خەڵکی
ENG20-03545154-n	lock; 	a fastener fitted to a door or drawer to keep it firmly closed	بەستێنەرێک کە لە سەر درگا یان ڕاکێشێک دەگونجاندرێ بۆ ئەوەی قایم بکرێ
ENG20-03545746-n	lock; lock chamber; 	enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it	جێ سیاج کراو کە لە نۆکەنێک پێک هاتووە کە بۆ ڕاگرتنی ئاستی ئاو دهتوانێ ببەسترێ؛ بە کار دێ بۆ بەرز کردنەوە یان نزم کردنەوەی لوولەهایک کە لێ دەگزەرێ 
ENG20-03547471-n	locomotive; engine; locomotive engine; railway locomotive; 	a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks	ئۆتۆمۆبیلێکی چەرخ دار کە ماتۆرێکی خودکاری هەیە کە بە کار دێ بۆ کێشانی شەمەندەفەر لە سەر هێڵە ئاسنیەکان
ENG20-03547937-n	lodge; indian lodge; 	any of various native American dwellings	هەر کام لە جۆره خانووەکانی دانیشتووە ڕەسەنەکانی ئەمریکا
ENG20-03548116-n	lodge; hunting lodge; 	a small (rustic) house used as a temporary shelter	ماڵێکی بچووک (لادێیی) کە وەک پەناگەیەک بۆ ماوەیکی کورت بە کار دێ
ENG20-03548760-n	loft; attic; garret; 	floor consisting of open space at the top of a house just below roof; often used for storage	نهۆمێک کە لە شوێنێکی بەرباز لە ژێر سرمیچی ماڵەوە پێک هاتووە و وەک هەمبار بە کار دێ
ENG20-03561924-n	machine; 	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks	هەر جۆرە ئامێرێکی میکانیکی یان کارەبایی کە ئێنێرژی دەگوازێتەوە یان بە کاری دێنێ لە ئەنجام دان یان یارمەتی کردنی ئەرکی مرۆڤەکان دا
ENG20-03562894-n	machine; simple machine; 	a device for overcoming resistance at one point by applying force at some other point	ئامێرێک بۆ وە سەر کەوتنی باشار لە یەک نوختهدا بە زۆر لێ کردن لە نوختەیەکی دی
ENG20-03563571-n	machinery; 	machines or machine systems collectively	مەکینە یان سیستەمە مەکینەییەکان بە گشتی
ENG20-03566075-n	magazine; 	product consisting of a paperback periodic publication as a physical object	بەرهەمێک کە بە ڕێک و پێکی چاپ دەبێ و لە بەر دەستی خوێنەر دێ
ENG20-03567152-n	magnet; 	(physics) a device that attracts iron and produces a magnetic field	(فیزیا) ئامێرێک کە ئاسن بە خۆ دەگرێ و مەیدانێکی مەگنەتیج درووست دەکا
ENG20-03571176-n	mail; 	a conveyance that transports mail	گواستنەوەی نامەکان بە پۆست
ENG20-03579894-n	manor hall; hall; 	the large room of a manor or castle	ژووری گەورەی خانووێکی گەورە یان قەڵایەک
ENG20-03581458-n	map; 	a diagrammatic representation of the earth's surface (or part of it)	نواندنەوەیەکی دایەگرامی لە ڕووی زەوی (یان بەشێکی)
ENG20-03585852-n	mask; 	a covering to disguise or conceal the face	داپۆشێ کە دەم و چاو دەگۆڕێ یان دەشارێتەوە
ENG20-03588236-n	master; master copy; original; 	an original creation (i.e., an audio recording) from which copies can be made	بەرهەمی ڕەسەن (وەک تۆماری دەنگ) کە کۆپیەکان لە سەر ئەو دەکرێن
ENG20-03588763-n	mat; 	a thick flat pad used as a floor covering	لبادێکی پان و پۆڕی تەخت کە وەک داپۆش لە سەر زەوی دەخرێ
ENG20-03590840-n	material; 	things needed for doing or making something	شتانێک کە بۆ جێ بە جێ کردن یان درووست کردنی  کارێک یان شتێک پێویستن
ENG20-03592039-n	mattress; 	a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed	کیسێکی گەورەی قۆڵ کە بە مادەی لخیز پڕ دەکرێ و وەک بەشێک لە تەختی خەو بە کار دێ
ENG20-03594073-n	means; 	instrumentality used to achieve an end	ئامرازێتی کە بۆ وە دەست هێنانی مەبەستێک بە کار دێ
ENG20-03594285-n	measuring instrument; measuring system; measuring device; 	instrument that shows the extent or amount or quantity or degree of something	ئامێرێک کە ئەندازە یان بڕ یان چەندایەتی یان پلەی شتێک ئاشکرا دەکا
ENG20-03597275-n	mechanical device; 	mechanism consisting of a device that works on mechanical principles	چۆنیەتی ئیشێک کە لە ئامێرێک کە کار لە سەر پرەنسیبێکی میکانیکی دەکا پێک هاتووە
ENG20-03598777-n	mechanism; 	device consisting of a piece of machinery; has moving parts that perform some function	ئامێرێک کە لە بەشێکی مەکینەیی پێک هاتووە؛ بەشهایەکی لە جووڵەی هەیە کە ئیش دەکەن
ENG20-03600430-n	medicine; medication; medicament; medicinal drug; 	(medicine) something that treats or prevents or alleviates the symptoms of disease	(دەرمان) شتێک کە نیشانەی نەخۆشی دەرمان یان لێ بەرگری یان سووکی دەکاتەوە
ENG20-03604099-n	memorial; monument; 	a structure erected to commemorate persons or events	پێکهاتەیەک کە بۆ بەرز ڕاگردنی یادی کەسێک یان ڕووداوێک بەرز کراوەتەوە
ENG20-03604997-n	memory device; storage device; 	a device that preserves information for retrieval	ئامێرێک کە زانیاری لە خۆی ڕادەگرێ بۆ دووبارە وەر گرتنەوەیان
ENG20-03607786-n	mercantile establishment; retail store; sales outlet; outlet; 	a place of business for retailing goods	جێگایەک بۆ بازەرگانی تاکفرۆشی کەل و پەل
ENG20-03608510-n	merchandise; wares; product; 	commodities offered for sale	کەل و پەلی لە فرۆش دا
ENG20-03622118-n	military installation; 	any facility servicing military forces	هەر ئادگارێک کە خزمەتکاری دەدا بە هێزە سەربازیەکان
ENG20-03623223-n	military vehicle; 	vehicle used by the armed forces	ئۆتۆمۆبیلێک کە هێزە چەکدارەکان بە کاری دەبەن
ENG20-03624511-n	mill; grinder; 	machine that processes materials by grinding or crushing	دەزگای پرۆسە کردنی کەرستە بە هاڕین یان شێلاندنیان
ENG20-03626641-n	minaret; 	slender tower with balconies	برجی باریکی هێوان دار
ENG20-03627241-n	mine; 	excavation in the earth from which ores and minerals are extracted	هەقاندن لە زەوی کە بە هۆیەوە فلز و کانزا وە دەست دێ
ENG20-03628589-n	minibike; motorbike; 	small motorcycle with a low frame and small wheels and elevated handlebars	ماتۆڕسیکلەتی بچووک بە پەیکەری کۆتا و چەرخی بچووک و دەستەی بەرز کراو
ENG20-03629097-n	ministry; 	building where the business of a government ministry is transacted	بیناێک کە ئیش و کاری وەزارەتی دەوڵەتێک لێ دەخرێتە ڕێ
ENG20-03631633-n	mirror; 	polished surface that forms images by reflecting light	ئاستی پۆلیش کراو کە بە شەوق دانەوەی ڕۆشنایی وێنەکان لە خۆی نیشان دەدا
ENG20-03635813-n	model; simulation; 	representation of something (sometimes on a smaller scale)	نواندنی شتێک (شتێک بە ئەندازەی بچووکتر)
ENG20-03637586-n	mohair; 	fabric made with yarn made from the silky hair of the Angora goat	قوماشێک کە بە دەزووی خوری بزنی ئانگۆرا درووست دەبێ
ENG20-03637810-n	mold; mould; cast; 	container into which liquid is poured to create a given shape when it hardens	دەفرێک کە تەوش دەکرێتە ناوی کە کاتێ سفت دەبێتەوە شکڵی دەفرەکە لە خۆی بگرێ
ENG20-03641308-n	monk's cloth; 	a heavy cloth in basket weave	قوماشێکی قورس لە سەبەتە چنین
ENG20-03643183-n	moped; 	a motorbike that can be pedaled or driven by a low-powered gasoline engine	ماتۆڕسیکلەتێک کە هەم بە پێ لێدان دەڕوا هەم بە ماتۆڕێکی کەم هێزی گازۆلینی
ENG20-03644536-n	morphine; morphia; 	an alkaloid narcotic drug extracted from opium; a powerful, habit-forming narcotic used to relieve pain	دەوایەکی هۆشبەری ئالکالۆیدی کە لە تلیاک دەگیردرێ؛ هۆشبەرێکی بەهێزی هوکارە کەرە کە بۆ لابردنی ئێش بە کار دێ
ENG20-03647935-n	motor; 	machine that converts other forms of energy into mechanical energy and so imparts motion	دەزگایەک کە ئەو جۆرەکانی تری ئێنێرژی دەگۆڕێ بە هێزی میکانیکی و جووڵانەوە مەیسەر دەکا
ENG20-03648465-n	motorcycle; bike; 	a motor vehicle with two wheels and a strong frame	ئۆتۆمۆبیلێکی ماتۆڕدار بە دوو چەرخەوە و چوارچێوەیەکی قایم
ENG20-03648968-n	motor scooter; scooter; 	a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel	ئۆتۆمۆبیلێکی چەرخدار بە چەرخی بچووکەوە و ماتۆڕی کەم هێزی گازۆلینی کە لە سەر چەرخی دوایە گیر بووە
ENG20-03649150-n	motor vehicle; automotive vehicle; 	a self-propelled wheeled vehicle that does not run on rails	ئۆتۆمۆبیلێکی خودکاری چەرخدار کە بە سەر هێڵەوە ناڕوا
ENG20-03649925-n	mound; hill; 	structure consisting of an artificial heap or bank usually of earth or stones	پێکهاتەیەک لە تەپە یان پشتەی بەرد یان خاک
ENG20-03657699-n	museum; 	a depository for collecting and displaying objects having scientific or historical or artistic value	هەمباری کۆکردن و پیشان دانی شتانێک کە نرخی زانستی یان مێژوویی یان هونەرییان هەیە
ENG20-03658049-n	musical instrument; instrument; 	any of various devices or contrivances that can be used to produce musical tones or sounds	هەر جۆرە ئامێرێک ئان ئامرازێ کە بۆ دەربڕینی دەنگ و سەدای مووسیقایی بە کار بێ
ENG20-03665393-n	narcotic; 	a drug that produces numbness or stupor; often taken for pleasure or to reduce pain; extensive use can lead to addiction	دەوایەک کە بێتە هۆی لە سەر خۆ چوون و بێ هۆش بوون؛ پتر بۆ کەیف خۆشی یان کەم کردنەوەی ئێش؛ بە کار بردنی زۆری بە هووت بوون دەگا
ENG20-03670919-n	neck; 	opening for the neck; the part of a garment near the neck opening	ملیوان؛ ئەو بەشەی جل و بەرگی نزیکی گەردن
ENG20-03671841-n	neckline; 	the line formed by the edge of a garment around the neck	هێڵێک کە لە لێوارەی جل و بەرگی نزیکی گەردنەوە پێک دێ
ENG20-03672681-n	needle; 	a sharp pointed implement (usually steel)	ئامێرێکی تیژ نووک دار (پتر لە پۆڵا)
ENG20-03673332-n	needlework; needlecraft; 	a creation created or assembled by needle and thread	بەرهەمێک کە درووست بووە یان پێک هاتووە لە دەرزی دروومان و دەزوو
ENG20-03676067-n	net; network; mesh; meshing; meshwork; 	an open fabric of string or rope or wire woven together at regular intervals	قوماشی بەرباز لە بەن، گۆریس یان سیم کە  بە ڕێک و پێکی لە جێگاگەلێکی دیاری کراودا چنراوەنە نێو یەک
ENG20-03678422-n	newspaper; paper; 	a newspaper as a physical object	ڕۆژنامە
ENG20-03685467-n	noose; running noose; slip noose; 	a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled	ئەڵقەیەک لە گۆریس یان تەنافدا کە بە گرێ لە جووڵە پێک دێ؛ وە سفت دەبێتەوە کاتێک گۆریس یان تەنافەکە دەکێشرێ
ENG20-03695344-n	obstacle; 	an obstruction that stands in the way (and must be removed or surmounted or circumvented)	بەربەستێک کە لە سەر ڕێ دەوێسێ( و ئەبێ لابرێ یان سەرکەوێ یان لە پاڵیەوە بوگزەرێ)
ENG20-03695542-n	obstruction; obstructor; obstructer; impediment; impedimenta; 	any structure that makes progress difficult	هەر پێکهاتەیەک کە پێش کەوتن سەخت دەکاتەوە
ENG20-03697215-n	office; business office; 	place of business where professional or clerical duties are performed	جێگای کار کە لەوێ ئەرکە پیشەیی یان کەهنووتیەکان ئەنجام دەبێ
ENG20-03703456-n	opening; 	a vacant or unobstructed space that is man-made	جێگایەکی نەبەستراوی چۆڵ کە بە دەستی مرۆڤ درووست کراوە
ENG20-03705643-n	opium; 	an addictive narcotic extracted from seed capsules of the opium poppy	هۆشبەرێکی هووت کەر لە شادانەی گوڵی تلیاک دەگیرێ
ENG20-03706018-n	optical device; 	a device for producing or controlling light	ئامێرێک بۆ ڕاهێنان یان کۆنترۆڵی ڕۆشنایی
ENG20-03707851-n	orchestra; 	seating on the main floor in a theater	جێگەی دانیشتن لە نهۆمی سەرەکی لە شانۆ دا
ENG20-03713659-n	outbuilding; 	a building that is subordinate to and separate from a main building	بیناێک کە لاوەکی و جودایە لە بینای سەرەکی
ENG20-03717999-n	overgarment; outer garment; 	a garment worn over other garments	جلێک کە لە سەری جل و بەرگ دەکرێ
ENG20-03724948-n	package; parcel; 	a wrapped container	دەفرێکی پێچراو
ENG20-03726323-n	pad; 	a usually thin flat mass of padding	کۆمەیکی ناسکی تەختی باڵینە
ENG20-03726857-n	padding; cushioning; 	artifact consisting of soft or resilient material used to fill or give shape or protect or add comfort	دەستکردێک پێک هاتوو لە مادەی لخیز کە بۆ پڕ کردنەوە یان شکڵ دان یان پاراستن یان ئاسوودەیی بەخشین بە کار دێ
ENG20-03729011-n	paint; 	a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating	مادەیەک کە وەک پۆششێک بۆ پاراستن یان ڕازاندنەوەی ڕووکار (بە تایبەت تێکەڵەیەک لە ڕەنگی هەڵواسراو لە تەوش)؛ وشک دەبێتەوە و داپۆشێکی سەخت پێک دێنێ
ENG20-03730240-n	painting; picture; 	graphic art consisting of an artistic composition made by applying paints to a surface	هونەری هێڵکارانە کە داڕشتنی و کێشانی شتێکە بە بەکار هێنانی ڕەنگ لە سەر ئاستێک
ENG20-03738653-n	pant leg; trouser leg; 	the leg of a pair of trousers	پاچەیکی جووتی شەڕواڵ
ENG20-03746082-n	part; portion; 	something less than the whole of a human artifact	شتێک بچووکتر لە تەواوەتی دەستکردی مرۆڤ
ENG20-03747241-n	partition; divider; 	a vertical structure that divides or separates (as a wall divides one room from another)	پێکهاتەیەکی ستوونی کە دابەش دەکا و جودا دەکاتەوە (وەک چۆن دیوارێک دوو ژوور لە یەک جودا دەکاتەوە)
ENG20-03748155-n	passage; 	a way through or along which someone or something may pass	ڕێگایەک کە لەسەر یان لە ڕێ وە کەسێ یان شتێ تێدەپەڕێ
ENG20-03750565-n	patch; 	a piece of cloth used as decoration or to mend or cover a hole	تیکە پارچەیەک کە بۆ ڕازانەوە یان چاکردن یان پۆشاندنی کونێک بە کار دێ
ENG20-03751940-n	path; 	a way especially designed for a particular use	ڕێگایەک کە بە تایبەت بۆ کارێکی تایبەت داڕێژراوە
ENG20-03752145-n	pathway; footpath; 	a trodden path	ڕێگایەک کە پێدا ڕۆێشتوون
ENG20-03752380-n	patio; terrace; 	usually paved outdoor area adjoining a residence	ناوچەیەکی قیرتاو کراوی نزیک لە جێگای نیشتەجێ بوون
ENG20-03759754-n	pen; 	an enclosure for confining livestock	هۆری حەیوان و ئاژەڵ
ENG20-03767801-n	percussion instrument; percussive instrument; 	a musical instrument in which the sound is produced by one object striking another	ئامێرێکی مووسیقا کە دەنگی بە لە یەک خواردنی دوو شت پێک دێ
ENG20-03777247-n	photograph; photo; exposure; pic; 	a picture of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material	وێنەی کەسێک یان دیمەنێکی لە چاپ دراو یان بە سەر سلایدەوە؛ تۆمار کراو بە کامێرا لە سەر مادەی حەساس بە ڕۆشنایی
ENG20-03780029-n	piano; pianoforte; forte-piano; 	a stringed instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds	ئامێرێکی ژێ دار کە بە گوشار دانی کلیل کە دەبێتە هۆی ئەوە چەکوشانێک لە سەر ئاڵقە کۆک کراوەکان بدەن، دەنگ درووست بکا
ENG20-03782824-n	picture; image; icon; ikon; 	a visual representation (of an object or scene or person or abstraction) produced on a surface	ڕەنگدانەوەی وێنەیی ( شتێک یان دیمەنێک یان کەسێک یان بیرۆکەیەک) کە لە سەر ڕوویەک هاتۆتە دی
ENG20-03783947-n	piece; 	a separate part of a whole	بەشێکی جیاوازی تەواوەتیەک
ENG20-03784378-n	piece of cloth; piece of material; 	a piece of fabric	پارچە قوماشێک
ENG20-03793692-n	pincushion; 	a small stiff cushion into which pins are stuck ready for use	کوشنێکی بچووکی سەخت کە بزماری تێ چەقیوە و ئامادەی بە کار هێنانە
ENG20-03802208-n	pixel; pel; picture element; 	(computer science) the smallest discrete component of an image or picture on a CRT screen (usually a colored dot)	(زانستی کۆمپیوتەر) بچووکترین بەشی جودای وێنەیەک یان ئەسکێک لە سەر پەردەی سی ئاڕ تی (پتر خاڵێکی ڕەنگی)
ENG20-03802951-n	place of business; business establishment; 	an establishment (a factory or an assembly plant or retail store or warehouse etc.) where business is conducted, goods are made or stored or processed or where services are rendered	دامەزراوەیەک (کارخانە یان کارگەی ماشین یان تاکفرۆش یان کۆگای گەورە هتد.) کە لەوێ ئیش دەکرێ، کەل و پەل درووست دەبێ یان هەمبار دەبێ یان پرۆسە دەکرێ یان خزمەتگوزاری دەکرێ
ENG20-03803347-n	place of worship; house of prayer; house of God; house of worship; 	any building where congregations gather for prayer	هەر بیناێک کە لەوێ کۆمەڵی خەڵک کۆ دەبنەوە بۆ نوێژ کردن و پاڕانەوە
ENG20-03806817-n	plant; works; industrial plant; 	buildings for carrying on industrial labor	بیناهای ڕابردنی ئیشی دەسکرد
ENG20-03809795-n	plate; 	a sheet of metal or wood or glass or plastic	پارچەی کانزایی یان چێوی یان شووشەیی یان پلاستیکی
ENG20-03810624-n	plate; photographic plate; 	a flat sheet of metal or glass on which a photographic image can be recorded	پارچەیەکی تەختی کانزا یان شووشە کە لە سەری وێنەیەکی فتۆگرافی دهتوانێ تۆمار بکرێ
ENG20-03814276-n	playpen; pen; 	a portable enclosure in which babies may be left to play	جێ سیاج کراوێک کە دەگوازێتەوە و منداڵانی ساوا لە ناوی کایە دەکەن
ENG20-03814525-n	plaything; toy; 	an artifact designed to be played with	دەستکردێک کە وا داڕێژراوە کە لەگەڵی کایە بکرێ
ENG20-03819370-n	plumb line; perpendicular; 	a cord from which a metal weight is suspended pointing directly to the earth's center of gravity; used to determine the vertical from a given point	گۆریسێک کە قورساییەکی کانزایی لێ هەڵواسراوە بۆ ناوەندی جازبەی زەوی؛ بە کار دێ بۆ دیاری کردنی باری ستوونی لە هەر خاڵێکی دراوە دا
ENG20-03822230-n	pocket; 	a small pouch inside a garment for carrying small articles	گیرفانێکی بچووک لە نێو جل و بەرگدا بۆ لە خۆ ڕاگرتنی شت و مەکی بچووک
ENG20-03826328-n	pole; 	a long (usually round) rod of wood or metal or plastic	تووڵی درێژ (پتر بازنەیی) لە چێو یان ئاسن یان پلاستیک
ENG20-03833740-n	porch; 	a structure attached to the exterior of a building often forming a covered entrance	پێکهاتەیەک کە بەستراوە بە بەشی دەرەکی بیناێکەوە و زۆرجار دەروازەیەکی پۆشراوی پێک هانیوە
ENG20-03834242-n	port; embrasure; porthole; 	an opening (in a wall or ship or armored vehicle) for firing through	دەرگایەک (لە نێو دیوار یان کەشتی یان ئۆتۆمۆبیلێکی زرێپۆش) بۆ تەقە کردن لێ
ENG20-03842154-n	pouch; 	a small or medium size bag-like container for holding or carrying things	دەفرێکی بچووکی یان نێوەندی وەک کیسە بۆ لە خۆ گرتن و گواستنەوەی شت و مت
ENG20-03842686-n	pound; dog pound; 	a public enclosure for stray or unlicensed dogs	جێ سیاج کراو بۆ سەگە وێڵ و بێ بەڵگەکان
ENG20-03852491-n	print; 	a fabric with a dyed pattern pressed onto it (usually by engraved rollers)	قوماشێک کە نموونەیەکی ڕەنگ کراو لێ گوشار دراوە (بە ڕۆلێری نەقشدار)
ENG20-03856368-n	product; production; 	an artifact that has been created by someone or some process	دەستکردێک کە کەسێ درووستی کردوون یان لە پرۆسەیەکەوە درووست بووە
ENG20-03862579-n	protective covering; protective cover; protection; 	a covering that is intend to protect from damage or injury	داپۆشێک کە ئیشی پاراستن لە زیان و گەزەنە
ENG20-03867231-n	public transport; 	conveyance for passengers or mail or freight	گواستنەوە بۆ ڕێبواران یان نامە و پۆست و بار
ENG20-03892996-n	raft; 	a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers	کەلەک، پاپۆڕێکی تەخت ( لە ئەڵوار یان تەختەداری درێژ درووست دەبێ) لە وەک سەکۆیەک بۆ مەلەوانان یان بۆ گواستنەوە بە کار دێ
ENG20-03900530-n	range; 	a place for shooting (firing or driving) projectiles of various kinds	جێگایەک بۆ لێدان (گولە تەقاندن یان پێش بردن) تەقەمەنی جۆرە جیاوازەکان
ENG20-03906474-n	rear; back; 	the side that goes last or is not normally seen	ئەو لەیەی کە ئاخر دەڕوا یان زۆربەی کات نابینرێ
