زۆر	abundance	abundant	ample	copious	deal	duress	extra	greatly	jolly	lot	many	much	multi	numerous	plentiful	richly	so	too	vast	very
هەڵەخەرجی	squander																			
نەقیزە	spur																			
چاوکه	spring																			
پانکردنەوە	spread																			
تەشەنەکردن	spread																			
ڕاخستن	spread																			
سەرگەرمی	sport																			
قین	spite																			
خولخولە	spin																			
حونجە	spell																			
چاوکانی	source																			
سەرچاوه	source																			
جۆرکردن	sort																			
ڕیزبەندی	sort																			
ڕیزکردن	sort																			
کەسەر	sorrow																			
ڕەقە	solid																			
ناوپڕ	solid																			
چکۆلە	small																			
قیچ	slight																			
خزین	slide																			
خلیسکان	slide																			
سەروژێر	slide																			
لووس	slide																			
هەڵخلیسکان	slide																			
قاژ	slice																			
قەڵەمی	slender																			
خەو	sleep																			
خەوتن	sleep																			
توێکڵ	skin																			
سپیکردن	skin																			
کەوڵ	skin																			
بەربوونەوە	sink																			
ژێرئاوکەوتن	sink																			
نیشانەبوون	signify																			
واتابەخشین	signify																			
ئاماژەپێدان	signify																			
ئال	side																			
هەڵقرچان	shrink																			
زیل	shrill																			
جریوە	shriek																			
شریخە	shriek																			
قوولاندن	shout																			
قیڕە	shout																			
توندهاویشتن	shoot																			
قۆنەرە	shoes																			
حەبەسان	shock																			
داخورپان	shock																			
ڕاچڵەکاندن	shock																			
سوپەر	shield																			
قەڵخان	shield																			
خۆپەنادان	shelter																			
نووا	shelter																			
پاژ	share																			
سەهام	share																			
شەرمەزاری	shame																			
لەراندنەوە	shake																			
هەلاجان	shake																			
هەستکردن	sensing																			
فام	sense																			
هەسیان	sense																			
ئاگاکردن	sense																			
ئاوەز	sense																			
تۆم	seed																			
دەبینێت	see																			
شێڵگر	sediment																			
ئۆدەگری	security																			
ئەستۆگری	security																			
رازگر	secretary																			
دووهەم	second																			
کەژه	season																			
تڵیش	seam																			
تەقەڵ	seam																			
چاک	seam																			
ڕینچ	seam																			
هین	science																			
‌قوتابخانه	school																			
سێن	scene																			
پێداگەڕی	scan																			
پێوانە	scale																			
قەپان	scale																			
نمرە	scale																			
گوتن	say																			
هۆشمەندی	sane																			
بەرکوڵ	sample																			
هەرزانی	sale																			
پارێزراوی	safety																			
دەڵنیایی	safety																			
سوێند	sacrament																			
پێسۆل	sabot																			
قاپقاپە	sabot																			
کڵاش	sabot																			
پەلەپەل	rush																			
بەڕێوبردن	run																			
هەڵبوون	run																			
هەڵهاتن	run																			
فەرمانڕەوایی	rule																			
کاولە	ruin																			
ساوین	rub																			
سوونەوە	rub																			
ێڕەو	route																			
ئاڕاستە	route																			
رەگ	root																			
خلیانەوە	roll																			
گلیان	roll																			
تەوەن	rock																			
کەور	rock																			
قیڕاندن	roar																			
نەڕاندن	roar																			
بێکارخولانەوە	roam																			
هەڵوەدایی	roam																			
بازنە	ring																			
چواردەوردان	ring																			
زرنگانەوە	ring																			
زەنگ	ring																			
تڕانە	ridicule																			
تەڤز	ridicule																			
هەلک	ridicule																			
سواری	ride																			
راپەڕین	revolt																			
چاوپێداگێڕانەوە	review																			
بەپێچەوانەوە	reverse																			
دومایی	result																			
وەستاندەن	restrain																			
بۆبژاردن	restitution																			
قەرەبووکردن	restitution																			
هێژایی	respect																			
چارە	resolution																			
یەکلاکەرەوه	resolution																			
پایداری	resist																			
خۆگرتن	resist																			
پاشکەوتکردن	reserve																			
پەزمەندە	reserve																			
دەربازکردن	rescue																			
ڕزگاری	rescue																			
خەبەردان	report																			
ڕاپۆرت	report																			
چەندجارەکردنەوە	repetition																			
وتنەوە	repeat																			
قەرزدانەوە	repay																			
پاشماوەکان	remains																			
جێماوەکان	remains																			
بەجێمان	remain																			
پشووپێدان	relieve																			
وەرگرتنەوە	regain																			
نەویستن	refuse																			
بۆناردنەوە	refund																			
ڕێگەپێنەدان	refrain																			
سەرەدەنگ	refrain																			
پسوولە	receipt																			
فیش	receipt																			
وەرگرنامە	receipt																			
وەسڵ	receipt																			
پەرچەکردار	react																			
دژکردەوە	react																			
هەیتەهەیت	rave																			
رادە	rate																			
هاوپەلکردن	range																			
قەڵسی	rage																			
بنجی	radical																			
رادیکاڵ	radical																			
لەڤا	quota																			
هۆخ	quota																			
واش	quota																			
پەنادان	quarter																			
چارەک	quarter																			
کۆڵان	quarter																			
گەڕەک	quarter																			
نشینگە	quarter																			
شارەزابوون	qualify																			
دەستنان	push																			
زەخت	push																			
بەدووداڕۆیشتن	pursue																			
پەیجۆری	pursue																			
وەدوونان	pursue																			
وابەتەمابوون	purpose																			
پەتی	pure																			
سەندن	purchase																			
کڕیان	purchase																			
چاوانە	pupil																			
ڕۆح	psyche																			
دەستور	provision																			
ڕەخنە	protest																			
ناڕەزایی	protest																			
گونجاوێتی	proportion																			
لەبارێتی	proportion																			
هاوڕێژە	proportion																			
خانووبەره	property																			
زەویوزار	property																			
مڵک	property																			
باوکردن	promote																			
برەوپێدان	promote																			
سەرخستن	promote																			
گفت	promise																			
دەرهاوێژی	projection																			
پڕۆژە	project																			
لێهاتوویی	proficiency																			
پرۆسە	process																			
موشکیلە	problem																			
هەمبازی	pride																			
پاڵەپەستۆ	pressure																			
تەوژ	pressure																			
بڵاڤۆک	press																			
پەستاندن	press																			
ڕاوگە	preserve																			
هەنووکە	present																			
ئامادەبوون	prepare																			
دووگیانی	pregnancy																			
سکپڕی	pregnancy																			
ئاوسی	pregnancy																			
بارووت	powder																			
پاوەن	pound																			
شیمانە	possibility																			
لوان	possibility																			
بەندەر	port																			
دەرەچە	port																			
ئاپورە	population																			
حەوز	pool																			
سیاسەتمەدار	politician																			
تەڤبیر	policy																			
تەگبیر	policy																			
ڕێباز	policy																			
ڕەواڵ	policy																			
ڕەوگە	policy																			
پۆڵ	pole																			
پاڵپێوەنان	poke																			
پیرەسی	poke																			
زەختە	poke																			
سۆک	poke																			
نەقیزەدان	poke																			
ژەهر	poison																			
نیشاندن	point																			
شاعیر	poet																			
هونراوه	poem																			
هۆزان	poem																			
باخەڵ	pocket																			
تانوپۆ	plot																			
لەزەت	pleasure																			
ژەنین	play																			
شانۆگەری	play																			
پلێت	plate																			
پلانێت	planet																			
پیلان	plan																			
خەستی	pitch																			
چێرەیی	pink																			
تێدەچەقێنێت	pierce																			
وردە	piece																			
شکڵ	picture																			
کورتەقسه	phrase																			
وته	phrase																			
کەللەڕەق	pertain																			
پایەداری	persistence																			
لەسەرڕۆیشتن	persist																			
ئەنجامدان	perform																			
ڕەخنەکردن	penetrate																			
تەبایی	peace																			
ئارامی	peace																			
پێدانەوە	payment																			
دان	pay																			
چنراو	pattern																			
پارت	party																			
لایەن	party																			
میوانی	party																			
نمایش	parade																			
کاغەز	paper																			
ترس‌ولەرز	panic																			
دارخورما	palm																			
دەستی	palm																			
دەربار	palace																			
ڕەنگاریکردن	paint																			
کێشانەوە	paint																			
بەستەک	pack																			
خودانیەتی	ownership																			
وەێریەتی	ownership																			
وامداربوون	owe																			
بەرەچه	output																			
بەرپابوون	outbreak																			
ئۆرگانیزم	organism																			
دەستوور	order																			
ڕاسپاردن	order																			
سازاوی	order																			
دژداری	opposition																			
ئۆپوزسیۆن	opposition																			
بیروڕا	opinion																			
برینگەری	operation																			
بەساڵاچووتر	older																			
پیرتر	older																			
کۆنتر	older																			
ڕەسمی	official																			
مەکتەب	office																			
نووسینگە	office																			
ئۆفیس	office																			
سووکانە	offensive																			
هێرشبەرانە	offensive																			
تیانیشتەجێبوون	occupy																			
فورسەت	occasion																			
دەستگیربوون	obtain																			
پەیڕەوکردن	observance																			
بابەتی	objective																			
ئاڕاستەکەر	objective																			
سستەر	nurse																			
نێڕوان	noon																			
نیوەڕۆ	noon																			
نیش	niche																			
دەنگوباس	news																			
نوچە	news																			
پوخته	net																			
نێت	net																			
ووتووێژ	negotiation																			
ئەستۆ	neck																			
خۆماڵیی	native																			
خۆوڵاتی	native																			
خۆیی	native																			
گێڕانەوه	narration																			
هۆشبەر	narcotic																			
سەرخەو	nap																			
دیرۆک	mythology																			
میتۆلۆژی	mythology																			
ئوستوورەناسی	mythology																			
ئەفسانەناسی	mythology																			
داڵغەلێدان	muse																			
بزووتنەوە	movement																			
تەڤگەر	movement																			
گوێزانەوە	movement																			
پرسەگرتن	mourn																			
کێڤ	mountain																			
کێو	mountain																			
کەژ	mountain																			
گرێدان	mount																			
دادێ	mother																			
دایکە	mother																			
مردنی	mortal																			
مرێنەر	mortal																			
مۆنە	morality																			
پەیکەریادکردنەوە	monument																			
دەعبا	monster																			
لەکۆڵنەبوونەوە	molest																			
مۆدیول	module																			
گۆڕانکاری	modify																			
سازگارکەر	moderate																			
شەلاتی	mob																			
قەرەپەستان	mob																			
ئاپۆڕە	mob																			
بزرکردن	miss																			
فریانەکەوتن	miss																			
لەکیسچوون	miss																			
هەڵەنەکردن	miss																			
چارەڕەشی	misfortune																			
کەمتەمەن	minor																			
مێرمنداڵ	minor																			
کان	mine																			
کانگا	mine																			
بەردەنەیزه	meteor																			
شیاوی	merit																			
بیرەوەری	memorial																			
یادگاری	memorial																			
یەکتربینین	meet																			
دەوا	medicine																			
چارەسەری	measure																			
ناوگین	mean																			
ناوین	mean																			
ناوەنج	mean																			
کاروباس	matter																			
ماددە	matter																			
ماک	matter																			
ماکە	matter																			
هاوسەرگیری	matrimony																			
ماده	material																			
گەڕاو	marsh																			
ژنهێنان	marry																			
هاوسەرگرتن	marry																			
نیشانەلێدەر	marker																			
پیشەگەری	manufacture																			
دەستکاری	manipulate																			
ڕاپەڕاندن	manage																			
شیردەر	mammal																			
وەبەرهێنان	make																			
درەوشانەوه	magnitude																			
تالح	luck																			
تاڵە	luck																			
کابەشاک	luck																			
هاتە	luck																			
بەئەمەکی	loyalty																			
ئەرکناسی	loyalty																			
خوارتر	lower																			
دڵداری	love																			
ووریابە	lookout																			
تەماشادەکات	looking																			
دەڕوانێت	looking																			
تواشاکردن	look																			
چاولێکردن	look																			
روخسار	look																			
وام	loan																			
خشتە	list																			
شێر	lion																			
بەستەر	link																			
حەزلێکردن	like																			
وێکچوون	like																			
وەکوو	like																			
لامپ	light																			
نوور	light																			
دانران	lie																			
ڕاکشان	lie																			
دەبا	let																			
رێپێدان	let																			
قەرزپێدان	lend																			
پەیڤین	lecture																			
وتاردان	lecture																			
لاربوونەوە	lean																			
قورقوشم	lead																			
توێژاڵ	layer																			
پانکردن	lay																			
سەپاندن	lay																			
دواجار	last																			
لامپه	lamp																			
پاچینه	ladder																			
کەمی	lack																			
تێگەیشتوو	knowing																			
چۆک	knee																			
زەنگۆڵ	knee																			
ئەژنوو	knee																			
کلەر	kitchen																			
مەتبەخ	kitchen																			
میرنشین	kingdom																			
مافزان	jurist																			
ناوبژیوانی	judgement																			
قازی	judge																			
فه‌رمان	job																			
جوو	jew																			
تانە	jest																			
تیز	jest																			
قسەخۆشی	jest																			
قەشمەری	jest																			
گەپ	jest																			
لاتاو	jest																			
دووپاتەکردنەوە	iteration																			
ژمارە	issue																			
تووشکردن	involve																			
هەڵبەستن	invent																			
دۆرینگ	interval																			
خوودانەشتێ	interest																			
بەتین	intense																			
بەواتای	intend																			
پێیوایە	intend																			
لەوڕووەوە	intend																			
هەواڵداری	intelligence																			
بیمه	insurance																			
یەکسەر	instant																			
یەکەوجار	instant																			
پژلاندن	insist																			
جەختکردن	insist																			
شێلگیربوون	insist																			
پێتک	insect																			
گەناوەر	insect																			
برینداربون	injury																			
زەخمارکردن	injure																			
بناخەدانان	initiate																			
جێماوە	inheritance																			
مەردەڵا	inheritance																			
هشتە	inheritance																			
تێداژیان	inhabit																			
فووتێکردن	inflate																			
هەڵامسان	inflate																			
تەنینەوه	infection																			
گیرۆدەبوون	incur																			
زۆرکردن	increase																			
دەرامەد	income																			
لەخۆگربوون	include																			
بووبەر	incident																			
باشکردن	improve																			
پەرەپێسەندن	improve																			
چاکترکردن	improve																			
ڕووندەکاتەوە	impress																			
مەحاڵ	impossibility																			
نەلوان	impossibility																			
گیردان	impede																			
دەبەخشێ	impart																			
بەیەکاماڵین	impact																			
لێککەوتن	impact																			
بێمەرگ	immortal																			
خەیاڵکردن	imagine																			
نەخش	image																			
دادگیرساندن	ignite																			
ئاگرتێبەردان	ignite																			
زاراوه	idiom																			
رێبیر	ideology																			
بیرۆکه	idea																			
ناسنامە	id																			
تاڵووکە	hurry																			
لەزین	hurry																			
هەڵپە	hurry																			
بەدواداگەڕان	hunt																			
ڕاو	hunt																			
تاسە	hunger																			
تامەزرۆیی	hunger																			
راوێژوڕوو	humor																			
گاڵتەکەری	humor																			
بێ‌دەیه	humble																			
مرۆ	human																			
خانوبەرە	housing																			
خۆمانە	household																			
سات	hour																			
میوانخانە	hotel																			
خانەخوێ	host																			
تازیاری	honor																			
رێزگرتن	honor																			
ماڵەوە	home																			
چاڵایی	hollow																			
قووڵکە	hollow																			
ناوبۆش	hollow																			
سۆنت	hole																			
کونا	hole																			
پێکان	hit																			
لەمپەڕ	hindrance																			
تەگەرەتێخستن	hinder																			
ڕێگرتن	hinder																			
تەپکە	hill																			
کۆمەککار	helper																			
ڕێنوێنی	help																			
جەهەننەم	hell																			
ژنەفتن	hear																			
ژانەسەر	headache																			
خەلە	harvest																			
درەو	harvest																			
هاتنەپێش	happen																			
هەڵکەوتن	happen																			
دەسکە	handle																			
دەسگیرە	handle																			
هەنگڵ	handle																			
پرچ	hair																			
خۆترنجاندن	hack																			
ڕێبە	guide																			
پێگه‌شتوو	grown																			
قاتبەندیکردن	group																			
سۆنگە	ground																			
مه‌نگه‌نه‌	grip																			
هارەڕ	grinder																			
ستەملێکراوی	grievance																			
کەسک	green																			
کەمئەزموون	green																			
مەزنترین	greatest																			
بەئەمەگی	gratitude																			
سپاسگوزاری	gratitude																			
ئاگردان	grate																			
به‌ناوبانگی	grandeur																			
کاڵا	goods																			
چرک	glue																			
چەسپ	glue																			
سرێش	glue																			
پەرداخ	glass																			
بەخشیش	gift																			
جۆره	gender																			
جەندەر	gender																			
رەگەز	gender																			
ددانه	gear																			
باخچە	garden																			
بێستان	garden																			
گەلاکس	galaxy																			
پڵیتەچرا	fuse																			
فلیتە	fuse																			
ماتەم	funeral																			
وەشارتن	funeral																			
پارەکان	funds																			
فەند	fund																			
بلاوێن	fun																			
بەردڵ	fun																			
دڵنەوا	fun																			
کایە	fun																			
گانکردن	fuck																			
میوه	fruit																			
خۆفناک	frightful																			
برادەرێتی	friendship																			
فریکشن	friction																			
سەربەستی	freedom																			
ڕێکخراوە	foundation																			
بووبەرد	fossil																			
فۆرم	form																			
لێبووردن	forgive																			
جەنگەڵ	forest																			
چێشت	food																			
چەرە	food																			
واردە	food																			
گەوجی	folly																			
دووکەوتوو	following																			
پێگرتی	follower																			
پەیڕەو	follower																			
چاولێکەر	follower																			
دواکەوتە	follower																			
دوکەڤتی	follower																			
لاساکەر	follower																			
خەڵکی	folk																			
تەرزە	fog																			
لێڵی	fog																			
باوبەفر	flurry																			
فلۆرا	flora																			
توندئاو	flood																			
شیپ	flood																			
رەوە	flock																			
کۆمەڵێک	flock																			
سەراوی	float																			
جوڵاندن	flex																			
دەرپەڕین	flee																			
بریقەدان	flash																			
بڕوسکە	flash																			
فلاش	flash																			
چەسپاندن	fix																			
مەڵڵا	first																			
لەسەرکارلابردن	fire																			
دوماهی	finish																			
ڤەبڕین	finish																			
ئاخر	finish																			
سەرمایەگوزاری	finance																			
فلیم	film																			
پڕبوونەوە	fill																			
دۆسیە	file																			
کێڵگه	field																			
پیاکێشان	fetch																			
دڵڕاکێشان	fetch																			
لێده‌رهێنان	fetch																			
گەناو	fen																			
مێینە	female																			
جەنایەت	felony																			
فڵان	fellow																			
کاورا	fellow																			
مێرک	fellow																			
براده‌ر	feller																			
ئاوه‌ڵ	feller																			
بڕینه‌وه‌	fell																			
خستن	fell																			
داپاچین	fell																			
دڕنده‌	fell																			
به‌ختیاری	felicity																			
کامه‌رانی	felicity																			
باک	fear																			
به‌چکه‌ئاسک	fawn																			
ماستاوکردن	fawn																			
مه‌رایکردن	fawn																			
دلۆڤانی	favor																			
که‌ر	fatuousness																			
پیو	fat																			
لەبە	fat																			
گورجی	fastness																			
لانه‌	fastness																			
مه‌ڵبه‌ند	fastness																			
توندکردن	fastening																			
پێوه‌به‌ستران	fasten																			
بێباکانە	fast																			
مۆد	fashion																			
حه‌زلێکردن	fancy																			
حولحولی	fancy																			
خۆشویستن	fancy																			
داڵغه‌	fancy																			
رازاوه‌	fancy																			
که‌شخه‌	fancy																			
گرانبه‌ها	fancy																			
هه‌وه‌س	fancy																			
باوەشێن	fan																			
هەوادار	fan																			
لاڵه‌په‌تێ	falter																			
بارین	fall																			
پاییز	fall																			
گەڵاڕێزان	fall																			
وەرین	fall																			
متمانە	faith																			
ئیمان	faith																			
سیسبونه‌وه‌	fade																			
له‌چاوونبوون	fade																			
کارتێکەر	factor																			
پێکه‌وه‌نان	fabricate																			
هه‌ڵبه‌ستن	fabricate																			
ژێرخان	fabric																			
دانەدەست	extradition																			
کشان	extension																			
کشاندن	extension																			
بەلەز	express																			
روون	express																			
لەزگین	express																			
پێشینە	experience																			
دەچێژێت	experience																			
رتاندن	expel																			
راپەڕێنەر	executor																			
ئاڵۆزاندن	excite																			
بەردە	exception																			
پەند	example																			
درووست	exact																			
گەشه	evolution																			
گۆڤان	evidence																			
سنجی	ethics																			
خەرسانن	estimate																			
نرخاندن	estimate																			
نەهاندن	estimate																			
هەزیرکردن	estimate																			
رۆنان	establish																			
داشۆڕان	erosion																			
سوون	eroding																			
سێویان	eroding																			
چاخ	era																			
درم	epidemic																			
بەخێڵی	envy																			
دەورووبەر	environment																			
درگا	entry																			
دەرگانە	entry																			
دەروو	entry																			
زارک	entry																			
سەرواژە	entry																			
لێمە	entry																			
ناڤدەر	entry																			
دڵخۆشبوون	entertain																			
هاتنەناوەوە	enter																			
چێژبردن	enjoy																			
مەکینه	engine																			
نەتەوی	enemy																			
کۆڵنەدان	endure																			
ئارامگرتن	endure																			
بەکۆتادێت	ending																			
خزمەت	employment																			
ئیمپاتی	empathy																			
پسوو	emotion																			
رزگاری	emancipation																			
بڵیندکردن	elevate																			
ڕێزلێنان	elevate																			
شادکردن	elevate																			
ستین	effect																			
شوێنکار	effect																			
هاسانی	ease																			
تەکاندن	dust																			
وادە	duration																			
دوێت	duo																			
خنکان	drown																			
تنۆک	droplet																			
هاژۆتن	drive																			
ئاژۆتن	drive																			
ئاژۆک	drive																			
خشاندن	drag																			
بۆخوارەوە	down																			
بەرەوخوار	down																			
خوارەوە	down																			
لەخوارەوە	down																			
دووهێنده	double																			
بارەگه	domicile																			
نیشتنگه	domicile																			
پاوان	domain																			
شانک	document																			
دکتۆر	doctor																			
بڵاوکردنەوه	distribution																			
بەرهەڵستی	dissent																			
پچڕاندن	disrupt																			
ئاوڕلێنەدانەوە	disregard																			
ڕەوانەکردن	dispatch																			
پەپکە	disk																			
پتورکان	disintegrate																			
ڕزان	disintegrate																			
ورودوخاشبوون	disintegrate																			
شورەیی	dishonor																			
ئەتک	dishonor																			
دەوری	dish																			
دەرد	disease																			
هەڵاوارن	discrimination																			
دیسکۆرس	discourse																			
گوتاردان	discourse																			
دیسپلین	discipline																			
زاکوون	discipline																			
خستنەلاوە	discard																			
په‌پکه	disc																			
ته‌پک	disc																			
دیسک	disc																			
سیدی	disc																			
پشێو	disarray																			
شپڕێو	disarray																			
ئاڵۆزباڵۆز	disarray																			
پەسەندنەکردن	disapproval																			
ڕێکنەکەوتن	disagreement																			
نەتوانکردن	disable																			
ڕاستەوخۆ	direct																			
ژاوەژاو	din																			
پانای	dimension																			
سەنگین	dignified																			
کێڵان	dig																			
هەڵکەندن	dig																			
جیاوازبوون	differentness																			
قاڵب	die																			
پاژنە	dice																			
بەربڵاوکردن	develop																			
ئاواکردنەوە	develop																			
گلدانەوه	detention																			
وردەکارییەکان	detail																			
دیزاین	design																			
شێوەکاری	design																			
وەسف	description																			
وەسفکردن	describe																			
داکەتن	descend																			
لووربوونەوە	descend																			
دابڕین	deprive																			
بننیشتوو	deposit																			
بەڕیزوەستاندن	deploy																			
ڕاڤەکردن	depict																			
کەوتنەسەر	depend																			
لەسەروەستان	depend																			
ڕۆیشتن	departure																			
دایره	department																			
کارگیڕی	department																			
دەڕوا	depart																			
دیموکراسی	democracy																			
داخواز	demand																			
لەسەرخۆیی	delicacy																			
پارێزگاریکردن	defend																			
لەسەرکردنەوە	defend																			
لێبردنەوە	defeat																			
بڕاندنەوە	decide																			
بەتەمابوون	decide																			
کەرکردن	deceive																			
دەپوکێتەوە	decay																			
ڕیکەوتن	deal																			
ئاڵوویر	deal																			
مەرگهێن	deadly																			
چاوزەقی	daze																			
ماقی	daze																			
مڕی	daze																			
وڕی	daze																			
ڕۆژگار	day																			
بەرەبەیان	dawn																			
خورما	date																			
بزدینۆک	danger																			
تەلەزگە	danger																			
خەبار	danger																			
قەستەسەر	danger																			
داوەت	dance																			
ڕەقس	dance																			
سەما	dance																			
شایی	dance																			
زەرەر	damages																			
تێکشاندن	damage																			
نازدار	dainty																			
قرتێنەر	cutter																			
کەتەر	cutter																			
کرتاندن	cut																			
داب	custom																			
درووستکراو	custom																			
چەماوه	curve																			
تەزوو	current																			
سەردەمیانە	current																			
هەنووکەیی	current																			
کیومولوس	cumulus																			
فەرهەنگ	culture																			
خشتەک	cube																			
داهاڕین	crush																			
هەڵپشاوتن	crush																			
هەڵگڵۆفین	crush																			
وردوخاشکردن	crush																			
قەوتە	crowd																			
خاچ	cross																			
وێکەوتن	cross																			
بوژاوە	crisp																			
ناوپۆش	crisp																			
پۆپکە	crest																			
هەیڤ	crescent																			
ئافرێنراو	creature																			
بەدیهێنەر	creator																			
چێکار	creator																			
خوڵقێنەر	creator																			
یەزدان	creator																			
ئافران	creation																			
لەسەرخشاندن	crawl																			
کراک	crack																			
خاڵۆزا	cousin																			
ئامۆزا	cousin																			
کۆرس	course																			
ئاراستە	course																			
هاوینەهەوار	country																			
راوێژگه	council																			
گۆشە	corner																			
چایگ	cool																			
خوێنسارد	cool																			
پێتن	cook																			
پێژان	cook																			
کوڵاندن	cook																			
کێرووشک	cony																			
تاوانباری	conviction																			
بەرداین	control																			
ناوئاخەن	content																			
تێکۆشەر	contender																			
تێدابوون	contain																			
هەڵگری	contain																			
لەڕی	consumption																			
سنوورداری	constraint																			
فشار	constraint																			
تێڕامان	consider																			
وریای	consciousness																			
ئاگایی	consciousness																			
پێکەوەلکاندن	connect																			
شڵەژان	confusion																			
تێکەڵاوبوون	confuse																			
سەرلێتێکدان	confuse																			
پێکادان	conflict																			
ناتەبای	conflict																			
بەندکردن	confine																			
پێشگرتن	confine																			
حەڵوا	confection																			
جوڵانەوە	conduct																			
ڕابستن	conduct																			
ڕاگواستن	conduct																			
ڕەفتارکردن	conduct																			
بۆدەرکەوتن	conclude																			
بەپەرۆشبوون	concern																			
ماکوتە	conception																			
ڕەشنووس	concept																			
کۆمپیوتەر	computer																			
سەرلێدەرکردن	comprehend																			
ئاوێته	compound																			
ستایش	compliments																			
گازنده	complaint																			
گلەیی	complaint																			
بەربەرەکانێ	competition																			
هاوڕکی	competition																			
تۆڵ	compensation																			
تێهەڵێنانەوە	compensation																			
پێکردن	compel																			
پێکگرتن	comparison																			
هاوبەشگە	company																			
دوان	communicate																			
دێت	coming																			
ڕوودان	come																			
پێگەیاندن	combine																			
پەیوەستبوون	combine																			
ڕەگەڵکەوتن	combine																			
کۆمپا	combine																			
نووسن	coma																			
جڤاک	colony																			
ژێرچەپۆکە	colony																			
کۆچەرگا	colony																			
کۆڵۆنی	colony																			
مەژیرگە	colony																			
بەرۆک	collar																			
تێکتەپین	collapse																			
تێکڕووخان	collapse																			
تێکقورمان	collapse																			
قەرەپووڵ	coin																			
تێکەڵە	cocktail																			
خێڵ	cockeyed																			
فەروو	coat																			
بەراو	coast																			
نزیکبوونەوە	close																			
سەعات	clock																			
چەپک	clip																			
کلیپ	clip																			
پێوەلکان	cling																			
پیاهەڵگەڕان	climb																			
چوونەسەر	climb																			
هەڵکشان	climb																			
زانک	cliff																			
مەلا	clergy																			
پاڵاوتن	clearance																			
پاککردنەوە	clear																			
پاقژ	clean																			
باژێر	city																			
زەمینە	circumstance																			
هەلومەرج	circumstance																			
پەخشکردنەوە	circulate																			
وەگەڕخستن	circulate																			
کرۆنیک	chronicle																			
سەرتڵ	choice																			
چیپ	chip																			
زارۆک	child																			
بالۆرەلێدان	cheer																			
هۆتاڤ	cheer																			
هەلهەلە	cheer																			
ڕوومەت	cheeks																			
فێڵکردن	cheat																			
گزیکردن	cheat																			
دوانەوە	chat																			
ڕاوەدوونان	chase																			
ڕەپێنان	chase																			
ڕەدوونان	chase																			
سەردەدوونان	chase																			
کاراکتەر	character																			
کەسایەتی	character																			
تەنگە‌ڵان	channel																			
دیوەخان	chamber																			
ڕێوڕەسم	ceremony																			
خانه	cell																			
گیرخستن	catch																			
هەڵقۆستنەوە	catch																			
کەمهێزکردن	castrate																			
لاوازکردن	castrate																			
نەزۆکاندن	castrate																			
پووڵ	cash																			
باردۆخ	case																			
سنووق	case																			
سەرپەرەشتی	care																			
دیڵ	captive																			
یەخسیر	captive																			
ئەسیر	captive																			
دەستمایه	capital																			
سەرکۆڵەکە	capital																			
سەرئەستوون	capital																			
مایه	capital																			
تەقیلە	cap																			
لەتوانابوون	can																			
هەدار	calm																			
تەلەفون	call																			
حیساب	calculation																			
چاوەڕێکردن	calculate																			
خەجڵ	busy																			
خەرکاو	busy																			
خەریک	busy																			
زەنازەنا	busy																			
قەڕەباڵغ	busy																			
لەزک	busy																			
لەگژ	busy																			
مژۆڵ	busy																			
پیشه	business																			
کاروکاسبی	business																			
دارچک	bush																			
تەقاندنەوە	burst																			
هاتنەکایەوە	burst																			
قورسایی	burden																			
لێپرسراوێتی	burden																			
پیواز	bulb																			
برادەر	buddy																			
پەخش	broadcast																			
دەمەبۆڵە	brawl																			
شەڕەقسە	brawl																			
مۆخ	brain																			
کەوانە	bracket																			
چەو	boulder																			
نیشانکەر	bookmark																			
ئێسقان	bone																			
بۆمباران	bomb																			
ناواخن	body																			
زرمە	blow																			
فووپێیاکردن	blow																			
فووکردن	blow																			
کوێر	blind																			
قەپ	bite																			
باڵنده	bird																			
هەڵپێچان	bind																			
بڕواکردن	believe																			
بیروباوەڕ	belief																			
بەجێماو	behind																			
لەدواوە	behind																			
پێخەف	bed																			
لەپ	bed																			
شەنگی	beauty																			
قەشەنگی	beauty																			
دەکوتێ	beat																			
دەخۆگرتن	bear																			
زان	bear																			
حەمام	bathroom																			
ئاودەستخانه	bathroom																			
سندوق	basket																			
تووڵ	bar																			
چیلکە	bar																			
شریت	bar																			
کاولی	bankruptcy																			
بانک	bank																			
تیپ	band																			
نەرده	balustrade																			
باهۆ	balcony																			
هەیوان	balcony																			
باڵانس	balance																			
کیس	bag																			
پشتگەڵاڵە	background																			
دوورروان	background																			
مەلۆتکە	babe																			
بێدار	awake																			
سەیارە	automobile																			
ماشێن	automobile																			
ڕێگەپێدان	authorize																			
دام	authority																			
ئۆرگان	authority																			
جەماوەر	audience																			
میوانان	audience																			
ئامادەبووان	audience																			
زیادکاری	auction																			
دیارخەر	attribute																			
دیارکەر	attribute																			
جووڵانەوە	attitude																			
پۆشین	attire																			
دیقەت	attention																			
تێکۆشین	attempt																			
پەلاماردان	attack																			
گەردیله	atom																			
پەیوندی	association																			
پەیوەستی	association																			
کەین	association																			
هاوپەیوەند	associate																			
هاریکار	assistant																			
کۆبوونەوە	assemble																			
نوسراو	article																			
هونەر	art																			
دەگات	arrive																			
گەیشتوو	arrival																			
باڵ	arm																			
هەڵسان	arise																			
دەلیل	argument																			
شانی	argument																			
ئەرێنا	arena																			
پانتایی	area																			
رووبەر	area																			
بۆت	arch																			
تاق	arch																			
ڕالەسەبوون	approve																			
